Хозяева,Гости,Первые,Вторые
Авангард,Йокерит,3,2
ХК Сочи,Трактор,2,4
Сибирь,СКА,4,6
Салават Юлаев,Автомобилист,1,4
Локомотив,Ак Барс,4,3
Северсталь,Йокерит,2,5
Авангард,Витязь,1,2
Динамо М,Трактор,2,4
Спартак,ЦСКА,4,5
Динамо Р,Динамо Мн,4,3
Амур,СКА,1,3
Сибирь,Торпедо НН,4,2
Металлург Мг,Автомобилист,2,3
Локомотив,Йокерит,2,3
Нефтехимик,Салават Юлаев,1,4
Витязь,Динамо Р,6,1
Амур,Торпедо НН,2,3
Барыс,СКА,3,2
Динамо М,Куньлунь РС,6,3
ЦСКА,Авангард,4,2
Ак Барс,Салават Юлаев,4,1
Нефтехимик,Металлург Мг,1,4
ХК Сочи,Динамо Р,4,2
Амур,Торпедо НН,2,1
Сибирь,Северсталь,2,3
Витязь,Локомотив,0,5
ЦСКА,Динамо М,2,0
Йокерит,Спартак,7,1
Автомобилист,Барыс,3,2
Трактор,Куньлунь РС,4,2
СКА,Металлург Мг,1,4
Динамо Мн,ХК Сочи,1,2
Амур,Северсталь,3,1
Салават Юлаев,Сибирь,4,3
Витязь,Ак Барс,2,3
Спартак,Локомотив,1,2
Автомобилист,Металлург Мг,3,4
СКА,ХК Сочи,4,3
Йокерит,Динамо Р,4,1
Динамо Мн,Куньлунь РС,2,0
Барыс,Северсталь,2,3
Салават Юлаев,ЦСКА,2,4
Локомотив,Динамо М,3,2
Нефтехимик,Ак Барс,3,2
Авангард,Сибирь,4,0
Автомобилист,Трактор,3,1
Динамо Мн,Динамо Р,4,3
Металлург Мг,ЦСКА,6,4
Салават Юлаев,Барыс,2,3
Торпедо НН,Сибирь,3,2
Витязь,Амур,6,3
СКА,Динамо М,3,4
Спартак,Куньлунь РС,6,4
ХК Сочи,Авангард,2,7
Йокерит,Локомотив,2,4
Ак Барс,Трактор,2,3
Металлург Мг,Авангард,3,0
Ак Барс,Амур,4,0
Витязь,Автомобилист,3,4
Спартак,Барыс,2,3
ХК Сочи,СКА,1,4
Йокерит,ЦСКА,5,2
Динамо Р,Локомотив,2,3
Куньлунь РС,Салават Юлаев,5,3
Северсталь,Трактор,0,4
Динамо Мн,Локомотив,0,1
Металлург Мг,Нефтехимик,3,4
Ак Барс,Барыс,0,1
Торпедо НН,Автомобилист,2,3
ХК Сочи,Амур,3,4
ЦСКА,СКА,3,1
